No,CPA Pretty Well ID,Reference (KB) Elev. (ft),Ground Elevation (ft),MD (All Wells) (ft),TVD (ft),Bot-Hole direction (N/S)/(E/W),Bot-Hole Easting (NAD83),Bot-Hole Northing (NAD83),On Prod YYYY/MM/DD,First Prod YYYY/MM,Last Prod. YYYY/MM,Stimulation Fluid,Total Proppant Placed (tonne),Avg Proppant Placed per Stage (tonne),Total Fluid Pumped (m3),Avg Fluid Pumped per Stage (m3),Stages Actual,Completed Length (m),Avg Frac Spacing (m),Load Fluid Rec (m3),Load Fluid (m3),Avg Fluid Pumped / Meter (m3),Avg Proppant Placed / Meter (tonne),Proppant Composition,Proppant Name 1,Proppant Size 1,Avg Proppant 1 Placed (tonne),Total Proppant 1 Placed (tonne),Total Ceramic Proppant Placed (tonne),Total Sand Proppant Placed (tonne),GAS_MONTH_1,GAS_MONTH_2,GAS_MONTH_3,GAS_MONTH_4,GAS_MONTH_5,GAS_MONTH_6,GAS_MONTH_7,GAS_MONTH_8,GAS_MONTH_9,GAS_MONTH_10,GAS_MONTH_11,GAS_MONTH_12,GAS_MONTH_13,GAS_MONTH_14,GAS_MONTH_15,GAS_MONTH_16,GAS_MONTH_17,GAS_MONTH_18,GAS_MONTH_19,GAS_MONTH_20,GAS_MONTH_21,GAS_MONTH_22,GAS_MONTH_23,GAS_MONTH_24,GAS_MONTH_25,GAS_MONTH_26,GAS_MONTH_27,GAS_MONTH_28,GAS_MONTH_29,GAS_MONTH_30,CND_MONTH_1,CND_MONTH_2,CND_MONTH_3,CND_MONTH_4,CND_MONTH_5,CND_MONTH_6,CND_MONTH_7,CND_MONTH_8,CND_MONTH_9,CND_MONTH_10,CND_MONTH_11,CND_MONTH_12,CND_MONTH_13,CND_MONTH_14,CND_MONTH_15,CND_MONTH_16,CND_MONTH_17,CND_MONTH_18,CND_MONTH_19,CND_MONTH_20,CND_MONTH_21,CND_MONTH_22,CND_MONTH_23,CND_MONTH_24,CND_MONTH_25,CND_MONTH_26,CND_MONTH_27,CND_MONTH_28,CND_MONTH_29,CND_MONTH_30,HRS_MONTH_1,HRS_MONTH_2,HRS_MONTH_3,HRS_MONTH_4,HRS_MONTH_5,HRS_MONTH_6,HRS_MONTH_7,HRS_MONTH_8,HRS_MONTH_9,HRS_MONTH_10,HRS_MONTH_11,HRS_MONTH_12,HRS_MONTH_13,HRS_MONTH_14,HRS_MONTH_15,HRS_MONTH_16,HRS_MONTH_17,HRS_MONTH_18,HRS_MONTH_19,HRS_MONTH_20,HRS_MONTH_21,HRS_MONTH_22,HRS_MONTH_23,HRS_MONTH_24,HRS_MONTH_25,HRS_MONTH_26,HRS_MONTH_27,HRS_MONTH_28,HRS_MONTH_29,HRS_MONTH_30,PRICE ($),Per Month Operation Cost ($)
250,99,3237,3207,20453,10685,0.436072144,0.586116765,0.010693833,2020.2.8,2020.1.1,2021.7.31,Water: HAL-Hybor,3442,56.43,27197.88,445.87,61,2776,43.13,0,30141.4,9.8,1.24,Sand,Brown,40/70,0.66,40,0,3442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1947000,100000
252,100,3117,3088,19570,10798,3.560453401,0.533860749,0.019327525,2018.10.26,2018.10.1,2021.7.31,Slickwater,5511.56,98.42,43877.48,783.53,56,2357.22,42.8,0,45422.08,18.61,2.34,Sand,Brown,40/70,98.24,5501.56,0,5511.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5961000,300000
336,126,3323,3297,15633,10867,65.25581395,0.395249975,0.205700353,2015.5.20,2015.5.1,2021.7.31,Oil: CWS-DynaGel,1131.2,59.54,3533,185.95,19,1343.82,74.65,0,3533,2.63,0.84,Ceramic/Sand,EconoProp,30/50,28.48,541.1,541.1,590.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2309000,150000
348,132,3323,3294,15335,10765,0.146331148,0.520073532,0.178589654,2015.5.22,2015.5.1,2021.7.31,Oil: CWS-DynaGel,1174.31,65.24,3239,179.94,18,1236.15,72.71,395.98,3239,2.62,0.95,Ceramic/Sand,FTecISP,30/50,34.14,614.52,614.52,559.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3462000,200000
352,133,3323,3290,15190,10727,0.369133192,0.520405902,0.190742596,2015.5.21,2015.5.1,2021.7.31,Oil: CWS-DynaGel,1113,65.47,3391.1,199.48,17,1242.91,73.11,410.18,3635.6,2.73,0.9,Ceramic/Sand,FTecISP,30/50,34.41,584.9,584.9,528.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1326000,100000
724,291,3075,3059,19242,10260,3.143279173,0.41225421,0.564724338,2014.7.15,2014.7.1,2021.7.31,Water,4060.56,112.79,8324.9,231.25,36,2701,77.08,650.87,8324.91,3.08,1.5,Ceramic/Sand,HydroProp,40/80,14.42,519.12,519.12,3541.44,121689,6,0,0,100230,134232,123477,91434,70785,61569,33,154965,81570,65250,39813,26085,21900,15705,10533,0,52962,13860,13227,12762,8508,7413,13767,15204,11901,11376,29718,4212,0,0,0,0,5706,7983,12078,16503,705,29208,14625,12930,7467,4803,3435,2625,2040,0,8937,3162,2721,2364,1728,2187,2559,2661,2238,1917,276,500,0,0,624,634,443,652,698,140,744,185,487,423,621,623,649,698,28,0,555,710,708,662,736,643,683,527,713,703,292000,30000
727,292,3081,3057,20292,10198,4.533573141,0.41471211,0.583730556,2016.1.1,2016.1.1,2021.7.31,Water: SLB-WaterFrac (WF),4475.86,165.77,7918.8,293.29,27,2857.46,104.24,1974.98,8480.5,2.77,1.57,Sand,Sand,40/70,165.77,4475.86,0,4475.86,7350,107529,0,79173,126282,125841,125295,108297,85950,79584,73506,69216,56250,51528,51075,52047,49671,45621,41901,39750,36201,29160,33759,34848,32418,31758,31011,30291,30564,29280,288,39228,0,22980,40296,38313,27720,21942,18504,18414,15828,13689,12435,12528,12312,12372,11973,11487,10794,8307,9099,8502,7956,7887,7866,7593,6741,6594,6447,5829,742,38,0,159,732,703,667,692,703,507,711,740,737,666,736,698,742,715,741,742,710,738,706,736,740,669,730,715,742,719,931000,50000
729,293,3043,3022,16224,10238,0.042656214,0.392320192,0.604717534,2012.12.14,2012.10.1,2021.7.31,Water: SLB-WaterFrac (WF),2761.47,120.06,4050.5,176.11,23,1800.36,80.11,1706.34,4074.5,2.25,1.53,Ceramic/Sand,HydroProp,40/80,15.64,359.65,359.65,2401.82,246111,0,182391,141591,128781,131181,92907,594939,278697,84624,72897,61464,52806,60306,36030,69,453,2544,103101,83292,0,233778,54255,50997,48915,47373,32178,31740,26313,22503,46359,0,0,0,18,15,15,9,813,453,0,0,357,18,0,12,0,1279518,11757,0,0,0,0,0,0,0,0,1146,1986,3708,184,0,388,541,574,483,720,116,284,699,739,698,744,720,744,744,672,1,164,342,0,260,643,500,657,690,703,697,652,681,955000,50000
743,297,3036,3019,20604,10209,2.108422939,0.235658832,0.720716702,2015.4.20,2015.4.1,2019.10.31,Water,4440.5,185.02,8585.6,357.73,24,2871.74,123.55,1729.63,8585.63,2.99,1.55,Sand,Sand,40/70,185.02,4440.5,0,4440.5,51129,0,0,115983,100134,112389,83394,73134,55290,45354,40653,41562,33888,32697,34491,32394,32190,28329,33435,26850,25911,24189,23088,24552,23511,21669,22236,21495,21135,19695,8400,13842,0,28674,17511,13602,12294,8355,7290,5886,5745,5838,5265,5088,4611,4329,4710,4578,5022,4275,3915,3408,3477,3258,3126,3114,2994,2778,2721,2748,185,20,0,218,564,581,560,673,701,732,679,609,714,732,697,738,700,690,547,713,733,728,663,727,712,724,696,737,727,713,528000,50000
745,298,3036,3018,18563,10215,1.388029197,0.250603191,0.720924606,2015.4.12,2015.4.1,2021.7.31,Water,3628.8,125.13,10087,347.83,29,2325.24,81.48,1820.37,10087,4.34,1.56,Sand,Sand,40/70,125.13,3628.8,0,3628.8,50826,0,0,93615,122979,79914,54195,47811,41019,34344,33372,29457,25383,22968,25806,24522,23376,20973,25542,18921,18495,17715,16374,18927,18441,17151,16719,16557,16881,15567,8868,0,0,27450,22839,12534,9387,7020,6363,4980,4938,4836,4515,4383,4101,4227,5037,4812,4647,3582,3297,2853,2886,3114,2949,2895,2808,2694,2532,2478,188,0,0,203,507,698,592,656,702,732,674,605,714,735,690,737,706,696,522,711,729,725,660,724,709,726,700,735,726,710,399000,30000
747,299,3037,3019,17552,10085,1.13582343,0.259302268,0.719926667,2015.4.12,2015.4.1,2021.7.31,Water,3242.5,120.09,8678.58,321.43,27,2112.05,80.28,2117.8,8679.6,4.11,1.54,Sand,Sand,40/70,120.09,3242.5,0,3242.5,43995,0,33363,137997,123024,86697,58761,57843,44796,42060,34143,48783,46755,46863,32694,23025,22974,21789,22356,18669,17052,22311,19887,20580,19527,19017,19032,19074,18744,16569,9573,0,8628,25197,25446,14427,11181,8604,7506,6426,6510,5322,5409,6273,4965,4467,5151,5223,4935,4191,3768,4383,3462,3510,3129,3213,3081,2907,2736,2607,218,0,720,550,125,608,633,669,682,707,504,598,713,731,698,739,655,711,506,713,732,653,661,722,708,724,694,738,719,713,249000,30000
749,300,3037,3021,16732,10374,12.37171053,0.277923218,0.708900187,2014.3.28,2014.3.1,2021.7.31,Water,2193.73,84.37,7063.03,271.65,26,1890.32,63.87,1680.83,8250.41,3.74,1.16,Ceramic/Sand,OxSteel,40/50,19.52,507.5,507.5,1680.08,21039,23361,0,0,46497,42066,20295,12429,15591,9399,10347,11379,8397,0,33672,30576,21756,45768,9435,4827,5607,3465,3225,3735,3555,3282,3186,3348,2820,3021,4464,17544,0,0,0,0,0,0,0,0,753,1620,2106,0,6153,4218,5349,0,2004,1653,1551,945,828,1020,1029,930,813,933,879,981,40,96,0,0,655,623,439,629,660,632,460,473,583,0,569,704,124,2,283,602,596,676,685,556,601,692,667,689,724,697,76000,5000
751,301,3044,3020,17369,10262,21.76303318,0.277012277,0.718471338,2013.10.22,2013.10.1,2021.7.31,Water: HAL-Water Frac G,3899.89,229.41,4115.1,242.06,17,2018.15,112.11,2096.81,4847.9,2.04,1.93,Ceramic/Sand,Oxane Ceramic,40/50,14.46,245.89,245.89,3654,6,247065,206907,165075,2919,0,54,222,0,0,170757,162324,110334,144582,91773,75579,59181,50508,0,0,140313,132198,96051,63081,41661,34761,30270,25722,23094,25557,9,0,0,0,0,0,165,0,0,0,0,0,0,0,0,3012,4824,7911,0,21840,21318,21174,17946,9477,6759,5394,4326,3897,3891,4734,490,119,662,566,648,0,720,744,720,0,254,462,521,124,657,701,647,588,0,10,310,243,437,628,639,697,690,733,679,605,753000,50000
766,306,3225,3198,18878,10776,0.136351942,0.04789827,0.432289403,2018.5.2,2018.3.1,2021.7.31,Slickwater,6178.27,154.46,56932.3,1423.31,40,2269,57.37,122.7,57264.9,25.09,2.72,Sand,Sand,40/70,154.46,6178.27,0,6178.27,99657,151962,129543,137685,140550,143049,133407,128667,117774,112617,108462,105630,98649,91017,85062,83004,82503,81423,66156,56247,63714,60633,60396,60054,59364,61710,60681,63249,61650,60612,27030,33543,19776,15582,14211,12900,11217,10239,9450,9846,7866,7518,6837,6738,6501,6120,5802,5508,5010,4566,5349,4431,4128,3924,3720,3675,3480,3456,3519,3321,304,685,711,720,744,744,720,741,720,662,741,669,744,720,742,720,744,739,480,714,601,742,738,694,740,718,743,719,744,742,1623000,100000
